text,exec_time,12.1,12.2,12.3,12.4,12.5,12.6,12.7,12.8,12.a,12.b,12.c,15.1,15.2,15.3,15.4,15.5,15.6,15.7,15.8,15.9,15.a,15.b,15.c,16.1,16.2,16.3,16.4,16.5,16.6,16.7,16.8,16.9,16.10,16.a
"The mandate of the new Ministry is to coordinate environmental protection and natural resources conservation for sustainable development and specifically to Secure a quality of environment adequate for good health and well being Promote the sustainable use of natural resources Restore and maintain the ecosystem and ecological processes and preserve biodiversity Raise public awareness and promote understanding of linkages of environment and Cooperate with government bodies and other countries and international organisations on The organisational structure of FMEnv is shown in Figure 21 next page",13.46,40.97,99.74,0.45,0.28,0.65,0.20,0.22,93.96,1.99,0.08,0.08,81.93,31.11,13.65,7.02,99.20,1.20,2.18,1.77,75.85,11.00,5.21,0.63,0.13,0.15,0.18,0.10,0.28,8.15,24.92,24.82,5.43,0.72,0.60
"Chinas Environmental Assessment GuidelinesEcological Impacts clearly requires that environmental impact assessment documents pay attention to adverse ecological impacts and beneficial impacts direct indirect and cumulative impacts and mitigation measures are formulated in the order of avoidance mitigation compensation and reconstruction In addition starting from 2015 China has implemented the delineation of ecological protection red lines on a large scale By the end of 2020 all provinces and cities across the country have completed the delineation of ecological protection red lines within their jurisdictions to protect important habitats",13.96,92.85,93.08,8.08,12.50,8.00,76.03,18.73,58.14,58.37,4.12,1.83,90.80,57.83,54.24,70.20,97.35,24.27,52.32,28.99,98.50,56.94,57.18,75.68,1.41,3.80,18.43,19.65,10.13,49.75,78.71,76.76,44.21,8.76,18.40
"Purulia hosts a number of subgroups of tribes While Santhal Munda Oraon Bhumij dominate among them there is a strong presence of Savar and Lodhas who belong to Particularly Vulnerable Tribe class PVTC The first group normally owns land though small in size and thus depends on agriculture and agriculture related works Being particularly marginal farmers they cultivate their own land and also work as agricultural labourers in othersa land They concentrate in nonforest areas Savars and Lodhas are primarily found in forest dominated areas and their livelihood depends primarily on forest products",16.91,15.72,3.13,4.53,0.65,1.13,10.79,9.48,15.32,5.81,1.20,2.19,7.27,3.13,1.57,3.17,17.33,17.61,10.43,7.56,28.09,15.90,1.96,3.43,2.71,7.67,1.71,1.16,1.60,6.49,19.56,31.22,0.40,17.15,7.33
"a vi Information disclosure public participation and informed decisionmaking Public participation runs through the whole project lifecycle and is an important measure to ensure the success of LAR activities The Ministry of Natural Resources issued the Standard Guidelines for Grassroot Government Affairs Disclosure in Rural Collective Land Acquisition in June 2019 sorting out matters to be disclosed regulating the disclosure process and improving modes of disclosure to protect the peopleas rights of information participation expression and supervision practically",13.83,21.82,72.51,1.84,2.00,5.10,2.68,11.50,56.35,4.45,1.19,0.81,77.26,33.52,54.17,11.14,37.63,8.19,2.75,9.36,17.09,6.80,40.61,5.21,0.94,0.90,29.87,4.37,12.78,75.78,94.93,20.77,29.34,93.90,18.88
"3 National Policy on the Environment The stated goal of the National Policy on the Environment is to achieve sustainable development in Nigeria and in particular to Secure a quality of environment adequate for good health and well being Conserve and use the environment and natural resources for the benefit of present and future generations Restore maintain and enhance the ecosystems and ecological processes essential for the functioning of the biosphere to preserve biological diversity and the principle of optimum sustainable yield in the use of living natural resources and ecosystems Raise public awareness and promote",14.75,30.71,99.79,0.84,0.65,0.93,0.70,0.55,94.64,4.68,0.11,0.20,80.72,29.34,23.04,4.75,98.48,2.94,11.15,6.67,92.98,7.13,9.30,2.29,0.18,0.17,0.34,0.20,0.21,1.75,41.39,6.11,8.48,0.37,0.95
"Land acquisition and loss of access to natural resources are managed in a way that avoids or minimizes displacement and affected people are assisted in improving or at least restoring their livelihoods and living standards",8.23,4.33,96.49,2.70,0.47,0.42,12.52,2.09,2.61,1.35,0.27,0.09,55.79,1.31,29.42,34.48,73.15,7.02,1.21,2.82,43.27,1.00,3.29,1.71,0.78,0.33,0.50,1.02,6.20,32.25,50.14,7.68,1.63,0.10,4.75
"i Breaking up land for building or quarrying of stone are not permitted in protected forests Cutting sawing removal of trees from protected forests is prohibited",7.08,53.80,55.44,6.86,3.46,21.84,34.67,19.30,27.21,23.65,4.99,9.61,93.12,56.42,8.38,84.54,81.54,10.51,6.73,7.19,59.28,37.78,24.54,13.74,4.08,1.31,5.62,9.31,7.93,27.66,57.94,20.06,7.67,2.94,41.21
"Because the River Corrente i s a state river the company submitted its environmental license to the state environmental agency But because of the effects on a National Park and on endangered species the Ministerio Publicotogether with IBAMA launched a legal action against the state license This case was upheld and the environmental licensing was transferred to IBAMA which in 2001 deemed the enterprise",11.80,66.25,55.34,4.60,3.65,6.72,29.07,50.77,31.36,25.68,1.58,4.52,19.15,21.74,4.83,37.39,65.11,18.07,18.59,7.23,75.15,21.07,13.28,36.73,2.08,0.88,31.98,3.89,8.64,42.14,34.11,49.42,26.83,76.45,62.50
"5 Largescale changes in land use or access to land andor natural resources 6 Adverse ES impacts covering large geographical areas e",7.03,7.61,6.26,0.77,0.03,0.47,29.98,4.72,9.70,2.14,0.07,1.09,1.27,2.10,3.12,9.39,21.37,0.30,0.84,0.82,23.96,1.72,3.01,3.80,0.06,0.30,0.14,1.42,1.20,4.27,14.08,7.47,0.84,0.15,0.82
"Recognition of Forest Rights act residing in such forests for generations but whose rights could not be access to the schemes",6.75,4.51,39.46,0.58,0.80,4.17,0.92,1.22,4.16,2.39,1.54,0.24,63.67,17.96,1.59,58.62,46.35,3.42,0.84,1.22,32.45,2.40,12.26,1.54,0.53,0.09,0.91,2.55,4.28,13.91,17.11,7.87,2.96,0.53,3.68
"The Central Basin IPF focuses its ecological research activities and resulting management recommendations on Poyang Lake and Dongting Lake Basins key biodiversity hotspots and target areas under Results Area 2 Alignment of Program elements are further discussed in Section IV Total Program financing over 2022a2026 is expected to be US6526 million of which an expected US6126 million 93 87 percent will be funded by the Government and US400 million equivalent 6 13 percent financed through IBRD Table 1",14.88,62.92,97.26,6.94,19.28,13.37,14.81,20.81,33.55,46.36,21.82,3.52,86.09,52.83,39.11,20.84,91.63,43.14,20.93,16.30,86.65,73.61,71.90,13.33,0.97,1.96,28.34,9.67,7.37,42.40,49.38,45.73,15.66,19.47,7.26
"Also road connectivity through transport system is often poor particularly in forest areas",6.17,18.03,28.46,23.36,0.67,6.28,44.44,15.41,21.87,13.71,0.83,7.54,56.57,28.32,3.00,48.36,66.88,2.97,1.89,10.61,57.87,33.83,26.83,15.91,0.43,0.90,1.76,4.81,4.24,9.03,29.67,35.04,1.19,2.93,5.97
"The ESMF covers i screening of potential works for environmental risks and impacts ii carrying out a required environmental assessment to obtain regulatory authorization for each work as applicable and iii implementing necessary mitigation and monitoring measures It also includes institutional capacity training supervision monitoring and reports applicable to CONAGUA The Project activates OP 4 04 on Natural Habitats since there are two Protected Natural Areas ANPs in the area of influence of the Cutzamala System and some of its existing infrastructure and part of the Project works are in the ANPs",16.28,24.75,80.63,1.48,0.89,5.98,26.81,24.06,25.38,19.66,1.13,0.28,84.70,12.50,6.59,58.04,70.86,4.49,2.70,8.04,75.03,22.82,9.74,2.22,0.30,0.24,4.47,0.94,1.05,56.73,53.66,35.98,10.65,10.83,15.03
"permits judicious and regulated use of forest land for nonforestry purposes",6.05,52.63,89.96,12.44,1.08,20.30,19.66,4.67,12.70,11.90,30.95,3.09,79.47,58.17,6.52,58.07,82.34,5.49,3.49,6.13,68.32,12.33,7.15,10.16,1.29,0.96,0.51,15.60,11.08,27.22,37.73,26.68,26.21,0.39,31.55
"The Measures for the Administration of the Soil Environment of Agricultural Land Interim are promulgated",6.36,61.10,85.65,13.53,7.66,9.33,8.81,3.87,33.65,5.29,0.10,0.71,4.88,1.22,76.87,0.22,72.81,8.37,1.23,38.10,68.02,9.03,0.71,2.30,0.22,0.26,0.36,1.35,5.60,24.72,49.15,26.58,28.33,0.24,21.89
"Xianghualing independent industrial and mining area renovation and upgrading project in Linwu County of Chenzhou City the project includes the relocation of people to avoid danger ecological restoration and environmental management reservoir derisking and reinforcement Xiangjiang River Xiaoshui dry tributary management project in Yongzhou City soil and water conservation management of 78 small rivers in the city Nature reserve ecological restoration and protection projects Relocation of the residents in every county and district of Yongzhou City ecological restoration of nature reserves construction of ecological monitoring stations and",15.60,81.11,99.07,1.95,11.45,76.88,57.40,54.56,38.09,37.79,0.66,3.88,99.04,84.88,92.26,68.19,96.83,24.08,16.70,14.17,91.36,32.80,42.28,25.76,4.08,0.74,4.97,8.13,3.07,68.28,74.03,28.29,14.26,3.18,16.44
"During the EIA nature reserves and ecological protection red lines",5.50,58.15,69.74,2.79,1.29,7.22,11.50,1.18,39.84,6.56,0.10,0.64,91.79,80.32,17.77,66.59,97.80,4.58,71.46,29.80,59.13,9.52,35.77,53.94,0.39,0.16,0.06,1.98,2.31,10.88,25.17,1.02,5.80,0.04,2.26
"List for the Development of the Yangtze River Economic Belt of Jiangxi Province Measures for Watershed Ecological Compensation of Jiangxi Province Ecological Protection Red Lines of Jiangxi Province Regulations on the Implementation of the River Lake Chief System of Jiangxi Province etc",9.77,88.85,97.92,3.98,13.10,12.35,49.87,40.83,79.84,58.31,33.94,5.08,98.42,75.80,75.61,15.00,97.76,12.41,24.20,49.52,92.91,59.24,51.48,16.34,0.85,1.46,1.84,3.49,5.42,62.34,72.72,45.04,34.21,9.85,48.62
"Proactive protection conservation maintenance and rehabilitation of natural habitats are addressed in generic mitigations measures in Chapter 4 of the RETDP ESMF as well as ECoP 19 natural habitats Takes into account potential adverse effects on physical cultural property The RETDP ESMF requires screening of a proposed project for its effects on physicalcultural resourcessites",12.22,28.28,64.66,8.47,0.93,5.64,21.20,39.78,25.70,17.45,11.43,1.24,89.28,24.57,39.43,26.19,84.01,9.54,19.51,8.67,77.36,35.10,49.71,12.00,1.06,1.92,8.58,6.15,5.63,29.47,51.26,30.68,18.54,2.55,9.18
"d Research on avalue realization mechanismsa ecological incentives This comprises research for the development of innovative incentive mechanisms for ecosystem protection including on the economic value of ecosystem services in the Yangtze River Basin methods for integrating ecological data into statistical accounts definition and clarification of natural resources property rights and the design of incentive mechanisms for ecosystem and water quality protection such as ecocompensation water markets and pollution discharge fees",12.94,51.57,97.08,1.33,6.12,4.59,27.05,15.19,55.70,70.91,0.87,0.60,92.90,10.76,14.92,38.00,86.77,3.77,1.35,4.80,89.79,62.80,18.76,0.42,0.40,0.42,2.34,13.11,3.85,22.89,45.03,21.45,19.56,2.62,4.20
"This covers all 100 counties in Jiangxi including over 90 counties in the Poyang Lake Basin The RBECP is intended to support ecological protection water quality improvement forest protection and improvement and livelihoods Each county is evaluated against three sets of indicators annually a water quality b forest and ecological conservation and c water resource and water environment integrated management with funds allocated according to results An estimated CNY 14 billion US2 billion has been invested through the RBECP from 2016 to 2020 averaging around US400 million annually including approximately US1",16.86,53.47,99.02,0.15,1.37,1.52,2.47,1.69,44.54,10.33,0.98,0.30,95.53,93.69,3.25,13.74,87.03,0.97,0.73,0.70,88.15,38.52,91.71,0.14,0.07,0.47,0.75,0.29,0.51,39.91,61.21,12.78,7.75,0.73,2.01
"The EIA GuidelinesEcological Impacts specifically stipulates the technical details of identifying and screening important ecological factors including wild animals and plants important habitats and biodiversity in the early environmental assessment stage of the project and clearly requires that the environmental impact assessment documents pay attention to ecological impacts positive and negative direct indirect and cumulative impacts mitigation measures are formulated in the order of avoidance mitigation compensation and reconstruction Cultural Relics Protection Law establishes protection areas for valuable cultural resources Construction projects unrelated to the protection of cultural relics are not allowed in the protected areas",19.19,81.31,91.82,4.47,1.96,10.07,72.09,29.44,66.17,43.52,8.45,0.99,78.92,13.73,20.61,53.35,87.57,13.88,18.45,3.26,92.93,27.46,20.23,46.29,1.16,3.15,6.10,13.86,11.43,34.37,58.69,36.64,54.66,2.92,32.57
"2 West Bengal Trees Protection and According to the Act",6.03,14.56,46.18,0.89,0.45,19.48,10.39,2.46,9.87,5.21,0.34,0.25,73.44,93.11,8.67,21.31,78.55,9.85,7.41,1.06,16.47,15.16,60.93,35.58,0.62,0.09,0.24,0.30,1.74,8.67,35.80,2.72,58.79,0.50,10.93
"i Conservation and survey of flora fauna forests and wildlife i Prevention and control of pollution i Afforestation and regeneration of degraded areas i Protection of the environment These objectives are well supported by a set of legislative and regulatory measures and policies aimed at the preservation conservation and protection of the environment 1 Central Pollution Control Board CPCB CPCB is a statutory organization which was constituted under the Water Prevention and Control of Pollution Act 1974 and entrusted with powers and functions under Air Prevention and Control of Pollution Act 1981",14.38,61.82,96.79,1.73,7.50,10.30,17.81,4.45,11.36,10.45,1.63,0.74,84.91,96.57,67.95,5.97,98.56,1.61,23.71,3.18,87.77,23.40,74.11,2.64,0.35,1.45,4.00,4.20,5.60,59.17,69.22,30.54,88.35,3.29,62.56
"biodiversity in the Monarch Butterfly Biosphere Reserve which protects key overwintering sites for a billion monarch butterflies in 80 percent of the area of the subbasins Some of the Projectas brownfield works and activities will be carried out within the two referred ANPs and their vicinity The ESMF stipulates that these works and activities need to cover specific measures to avoid and mitigate risks and negative impacts in the ANPs including additional monitoring actions as pertinent and to comply with their existing management plans",14.01,27.60,90.21,4.91,10.41,24.32,33.13,34.16,16.57,4.77,0.71,1.18,48.08,27.81,29.27,69.65,86.46,24.39,14.34,7.54,83.57,38.90,43.90,8.37,0.47,0.64,6.90,10.06,3.30,33.14,56.22,34.13,16.54,12.85,8.79
"Populations of important fauna Area of wetlands and numbers integrity of wetlands re providing goods and services",6.47,22.16,75.19,2.28,1.69,3.31,28.92,29.74,34.26,14.95,56.33,1.00,59.57,3.09,0.87,3.63,59.36,1.93,1.81,1.97,67.66,34.85,6.33,3.77,0.37,0.19,0.47,3.30,7.19,13.24,36.32,10.19,10.08,0.82,3.96
"project involving nature reserve or protected cultural relic must be",5.30,11.75,68.37,2.62,0.43,2.18,26.51,2.93,10.38,2.26,26.90,0.24,46.73,14.90,10.70,38.36,82.11,1.89,3.58,8.31,80.12,12.36,9.85,10.24,0.15,0.06,0.06,0.27,2.18,2.98,26.49,3.20,10.78,0.06,1.03
"4 Core Principle 4 Program ES systems manage land acquisition and loss of access to natural resources in a way that avoids or minimizes displacement and assists affected people in improving or at the minimum restoring their livelihoods and living standards The six aspects under Element 9 are analyzed as follows 202",9.89,10.42,92.24,5.55,0.37,0.93,17.74,3.31,3.85,9.80,0.18,0.40,52.43,16.14,40.52,22.14,68.29,6.49,8.41,5.83,47.51,5.89,13.51,7.29,0.34,2.36,8.62,1.42,3.55,9.88,26.75,8.71,1.61,1.34,3.37
"The respondents belonged to forest covered blocks Baghmundi Bandwan and nonforest areas of blocks Jhalda II Manbajar II and Barabajar of Purulia district Our survey and indepth interviews were facilitated and arranged by two renowned NGOs namely Pradan and Bangla Natok dot Com BNDC They work with the women of several blocks on training of sustainable agriculture methods and making commercially sold utility items from several forest products Three characteristics of the study participants have been taken into consideration for inclusion in the sample These are age group marital status and locational characteristics",16.61,24.38,90.70,22.20,5.48,29.79,5.11,18.34,70.42,85.60,9.42,1.65,57.07,47.63,15.89,59.86,57.84,35.46,6.18,2.24,56.60,28.53,45.34,5.89,6.48,4.47,12.05,6.20,7.88,45.76,70.58,28.62,0.42,11.71,1.07
"1 Ministry of Environment Forest and Climate Change MoEFCC The Ministry of Environment Forest and Climate Change MoEFCC is the nodal agency in the administrative structure of the Central Government for the planning promotion coordination and overseeing the implementation of Indias environmental and forestry policies and programs The broad objectives of the Ministry are i Conservation of countrys natural resources including its lakes rivers etc",13.74,22.30,99.31,1.18,0.58,0.93,3.17,0.19,3.40,1.59,0.23,0.39,99.08,84.15,27.27,0.43,96.70,0.32,4.36,1.51,87.00,32.83,28.28,0.48,0.13,1.02,1.46,0.27,0.66,13.89,43.23,12.97,34.21,0.34,0.57
"required for verification along with publication of ecological flow monitoring bulletins",5.96,47.40,87.87,23.61,23.49,23.58,77.74,15.17,63.77,31.25,2.70,1.42,38.70,48.80,6.92,52.86,80.50,3.45,10.56,22.21,60.29,7.31,2.66,11.37,0.23,0.17,0.33,2.90,4.01,32.28,32.15,14.60,3.71,15.71,1.62
"produce and the duty leviable on timber and other forestproduce",6.25,90.86,74.15,19.22,2.54,23.22,39.65,44.30,42.14,24.31,1.19,10.43,39.20,49.74,3.33,63.85,66.18,14.01,2.81,6.74,62.12,36.15,62.06,24.30,1.93,1.56,2.47,17.78,10.57,26.78,54.76,16.97,41.17,1.09,17.87
"In actual implementation identifying important natural habitats important wildlife protection targets and statutory ecological protection red lines are one of the key tasks of each EIA All projects involving statutory protected areas have taken avoidance measures For other unavoidable ecological and environmental impacts it is necessary to formulate reduction mitigation or compensation measures",10.57,16.69,70.77,10.67,0.93,1.63,39.60,9.87,15.13,6.77,8.95,1.01,65.36,1.47,5.22,41.12,88.96,2.55,18.32,3.10,85.26,10.10,8.35,16.16,0.25,0.50,3.69,1.34,1.51,24.03,36.72,34.50,10.59,3.86,4.15
"The program interventions do not involve land acquisition and will not result in any loss of access to natural resources or involuntary resettlement Thus Core Principle 4 is not applicable",7.78,82.71,95.46,34.97,24.32,15.15,24.79,57.53,64.08,65.23,69.48,6.67,97.04,69.39,77.03,70.76,83.78,49.28,79.85,48.20,73.84,40.60,65.49,55.51,15.73,33.69,33.74,31.94,20.49,33.34,33.11,63.87,4.95,44.72,20.60
"the Forest Department and felling of any of the trees as mentioned in the schedule is not permitted without permission Every person who fells a tree should undertake plantation of two trees for one tree felled in same plot of the land",10.03,48.54,69.31,14.13,14.05,30.84,12.73,40.33,21.30,13.12,5.36,13.27,81.69,56.51,21.89,63.73,57.67,59.43,7.13,10.81,52.89,22.58,19.68,18.18,5.59,2.56,40.61,6.90,10.41,33.75,48.65,14.05,21.58,5.77,43.83
"In the Pilot Plan for Integrated Ecological Compensation 2019 one of the pilot tasks is to promote horizontal ecological compensation between upper and lower reaches and 50 pilot counties 5 in Jiangxi Province are selected among key ecological areas in 10 provinces to develop their own implementation plans",10.27,33.17,83.49,0.63,1.46,2.16,0.38,0.33,2.83,8.77,0.80,0.22,78.08,21.77,12.51,74.76,82.82,8.32,0.62,0.94,84.94,2.95,14.95,0.34,0.15,0.24,0.57,0.27,0.17,3.12,57.44,38.80,2.82,0.84,0.28
"See Element 1 for a consistency analysis of social impact assessment The consistency of Elements 2 and 5 is analyzed below i Early screening During site selection and feasibility study of related projects the relevant authorities e natural resources bureau cultural heritage bureau shall be coordinated to conduct a joint survey and risks and impacts screening",10.79,49.34,75.89,14.67,12.21,15.40,41.13,41.80,29.91,40.47,51.13,2.24,72.26,57.60,53.23,60.96,78.84,22.39,21.65,21.08,61.62,26.59,43.98,27.17,0.87,4.18,1.91,3.91,5.46,39.90,43.78,28.52,1.77,11.08,4.13
"Regulations on Nature Reserves A nature reserve shall be set up for an important habitat Nature reserves shall establish specialized",6.82,21.49,78.67,2.59,0.75,2.37,9.13,9.30,13.81,7.35,1.75,2.15,63.09,31.13,5.32,58.01,65.97,6.11,6.62,1.09,79.68,30.02,22.35,22.28,0.82,1.56,0.47,1.79,5.09,32.91,27.26,20.16,13.43,1.46,7.54
"This act recognizes and vests the forest rights and occupation in forest land Applicable to the GPs in tribal areas",6.91,7.03,57.44,0.32,1.76,4.33,0.76,5.76,6.43,3.61,1.78,0.11,48.00,30.64,1.94,44.61,51.82,19.44,1.51,1.36,57.31,6.88,16.05,4.97,2.32,0.72,1.66,2.04,3.55,13.64,24.01,35.70,25.74,0.13,9.90
"scheme beneficiaries located near forests to prevent such illegal activities",5.76,15.65,73.90,4.47,2.62,13.41,5.99,9.75,4.09,1.35,0.92,0.40,30.69,34.41,1.16,45.47,84.38,1.72,69.64,3.92,39.61,1.66,7.74,94.29,3.05,3.39,0.25,78.83,15.53,3.81,40.55,6.53,3.27,0.39,4.96
"provinces new domestic waste treatment capacity by 25650 tonsday by 2025",6.27,66.53,51.56,9.44,27.96,62.49,27.64,19.93,13.20,18.84,0.18,7.82,0.72,2.20,1.50,1.65,12.42,1.78,0.33,4.03,12.50,2.19,0.43,0.23,0.33,0.34,0.70,0.58,2.85,15.85,56.13,23.90,7.18,1.45,3.61
"Water quality and flow Water contamination due to materials and chemical",6.06,7.45,6.23,2.50,0.23,2.89,26.13,8.80,25.47,10.38,0.11,0.89,0.70,2.23,0.78,11.44,21.92,0.35,0.40,3.35,14.98,10.79,0.75,0.32,0.14,0.18,0.26,0.34,0.92,11.97,34.00,2.22,5.52,0.34,3.50
"The pollution reduction targets refer to i the number of demonstration counties that have established integrated wastewater service systems ii the weight tons of agricultural plastic film collected and iii the number of demonstration counties meeting their respective annual livestock poultry manure utilization rate targets proportion of utilized livestockpoultry waste The Program will be implemented on various levels to ensure supervision and crosssectoral and crosslevel coordination The Program Management Office PMOs under the Jiangxi and Hunan Provincial Development and Reform Commission PDRC will be responsible for overall Program guidance and management",15.72,70.38,81.39,0.70,8.87,89.31,5.78,1.70,14.03,54.81,0.29,1.40,2.19,1.32,2.72,5.04,6.10,9.30,0.32,0.58,14.21,1.94,1.13,0.28,0.07,0.38,7.69,0.19,0.26,57.92,94.22,28.69,9.47,3.92,6.68
"From the analysis of the relevant environmental policies laws and regulations applicable to the program please refer to Annexure I it can be concluded that that the existing policy legal and regulatory framework governing the management and mitigation of any environmental risk or adverse environment impact of the program are adequate and do not need any augmentation or change to support the implementation of the PforR",12.06,79.89,78.35,40.64,16.04,29.10,45.03,44.15,30.59,57.80,55.50,17.55,77.40,59.54,68.46,59.23,68.51,42.15,57.42,42.29,65.83,44.96,68.11,32.99,7.98,24.07,34.40,21.50,18.10,35.31,40.95,59.10,34.23,33.72,37.98
"be recovered by producers dealers and users Measures for the Administration of Agricultural Mulching Films Article 14",6.90,69.27,63.49,29.34,8.08,66.86,36.38,48.18,17.88,17.90,1.78,6.33,5.33,42.40,43.91,5.76,64.45,37.70,37.39,22.86,23.82,12.01,46.45,15.74,0.68,4.60,8.02,34.55,36.52,27.32,50.52,16.39,42.56,4.81,18.04
"The Regulations on Pesticide Administration raises specific requirements for the production registration marketing and",6.97,70.04,51.56,14.64,2.09,22.96,43.33,40.89,41.76,40.45,0.27,2.59,0.22,4.01,0.75,13.03,42.20,33.86,0.66,9.63,17.90,5.49,9.66,0.53,0.71,0.66,2.51,4.00,7.48,36.28,42.01,4.56,20.08,2.06,18.11
